RCID	OBJL	BOY_FIELD	BOY_VALUE	LON	LAT
59735	BOYSPP	BOYSPP	4.0	121.376252	31.597751
59743	BOYSPP	BOYSPP	4.0	121.3633333	31.5483333
59744	BOYSPP	BOYSPP	4.0	121.527217	31.53333
59745	BOYSPP	BOYSPP	7.0	121.349949	31.53289
59746	BOYSPP	BOYSPP	4.0	121.3840833	31.5385278
59747	BOYSPP	BOYSPP	4.0	121.4239722	31.5196944
59773	BOYSPP	BOYSPP	4.0	121.359736	31.57249
59774	BOYSPP	BOYSPP	4.0	121.313747	31.538742
59775	BOYSPP	BOYSPP	4.0	121.324711	31.538724
59776	BOYSPP	BOYSPP	4.0	121.320873	31.544873
59777	BOYSPP	BOYSPP	4.0	121.339393	31.56098
59778	BOYSPP	BOYSPP	4.0	121.305755	31.612793
59783	BOYSPP	BOYSPP	4.0	121.324343	31.575097
59784	BOYSPP	BOYSPP	4.0	121.329074	31.572401
59785	BOYSPP	BOYSPP	4.0	121.338082	31.583132
59786	BOYSPP	BOYSPP	4.0	121.321922	31.59792
68881	BOYSPP	BOYSPP	4.0	121.008689	31.793623
68882	BOYSPP	BOYSPP		121.275091	31.597303
68887	BOYSPP	BOYSPP	4.0	121.132245	31.700719
68888	BOYSPP	BOYSPP	4.0	121.006053	31.780856
68889	BOYSPP	BOYSPP	4.0	121.004358	31.772218
68890	BOYSPP	BOYSPP	4.0	120.985609	31.783023
68891	BOYSPP	BOYSPP	4.0	120.984275	31.773912
68892	BOYSPP	BOYSPP	4.0	121.28761	31.582379
68893	BOYSPP	BOYSPP		121.290331	31.58045
68894	BOYSPP	BOYSPP	4.0	121.280968	31.584356
68895	BOYSPP	BOYSPP		121.278668	31.592753
68896	BOYSPP	BOYSPP	4.0	121.297256	31.607554
68897	BOYSPP	BOYSPP	4.0	121.204188	31.672053
68898	BOYSPP	BOYSPP	4.0	121.246771	31.66147
68899	BOYSPP	BOYSPP	4.0	121.207277	31.655565
68900	BOYSPP	BOYSPP		121.199317	31.659107
68901	BOYSPP	BOYSPP		121.19077	31.666559
68902	BOYSPP	BOYSPP	4.0	121.234973	31.711663
68903	BOYSPP	BOYSPP	4.0	121.152136	31.714168
68904	BOYSPP	BOYSPP	4.0	121.17028	31.767813
68905	BOYSPP	BOYSPP	4.0	121.13855	31.747481
68906	BOYSPP	BOYSPP	4.0	121.127701	31.734453
68907	BOYSPP	BOYSPP		121.058272	31.735377
68908	BOYSPP	BOYSPP		121.18065	31.6727
68909	BOYSPP	BOYSPP	4.0	121.180494	31.736248
68910	BOYSPP	BOYSPP	4.0	121.167975	31.759359
68911	BOYSPP	BOYSPP	4.0	121.172265	31.7624
68912	BOYSPP	BOYSPP	4.0	121.11029	31.742118
68913	BOYSPP	BOYSPP	4.0	121.114361	31.745518
68914	BOYSPP	BOYSPP	4.0	121.118547	31.753218
68915	BOYSPP	BOYSPP	4.0	121.140955	31.723432
68916	BOYSPP	BOYSPP	4.0	121.075366	31.773588
68917	BOYSPP	BOYSPP	4.0	121.076335	31.77985
68918	BOYSPP	BOYSPP		121.014985	31.754214
68919	BOYSPP	BOYSPP	4.0	121.047358	31.783129
68920	BOYSPP	BOYSPP	4.0	120.989988	31.797589
68921	BOYSPP	BOYSPP	4.0	120.987267	31.791959
68922	BOYSPP	BOYSPP	4.0	120.982507	31.767426
68931	BOYSPP	BOYSPP	4.0	121.004143	31.768907
68932	BOYSPP	BOYSPP	4.0	121.017482	31.780034
68933	BOYSPP	BOYSPP	4.0	121.018396	31.786351
68934	BOYSPP	BOYSPP	4.0	121.007313	31.785406
68953	BOYSPP	BOYSPP	4.0	121.178375	31.696444
68954	BOYSPP	BOYSPP	4.0	121.173715	31.691325
68955	BOYSPP	BOYSPP		121.283888	31.587026
68956	BOYSPP	BOYSPP		121.206744	31.680256
68957	BOYSPP	BOYSPP	4.0	121.13951	31.774038
68958	BOYSPP	BOYSPP	4.0	121.13715	31.765551
68959	BOYSPP	BOYSPP	4.0	121.296819	31.568099
68960	BOYSPP	BOYSPP	4.0	121.295639	31.561459
68961	BOYSPP	BOYSPP	4.0	121.267969	31.597215
68962	BOYSPP	BOYSPP		121.268741	31.60523
68963	BOYSPP	BOYSPP	4.0	121.26561	31.640106
68966	BOYSPP	BOYSPP		121.294468	31.57562
68967	BOYSPP	BOYSPP		121.158106	31.685636
68969	BOYSPP	BOYSPP		121.109383	31.716616
68970	BOYSPP	BOYSPP		121.117218	31.711635
68971	BOYSPP	BOYSPP		121.181717	31.699524
68972	BOYSPP	BOYSPP		121.197716	31.721274
68973	BOYSPP	BOYSPP		121.154773	31.739663
68974	BOYSPP	BOYSPP		121.264882	31.866216
68975	BOYSPP	BOYSPP	4.0	121.073012	31.73141
68976	BOYSPP	BOYSPP	4.0	121.162583	31.743749
68977	BOYSPP	BOYSPP		121.160676	31.684787
68978	BOYSPP	BOYSPP		121.138434	31.697116
68980	BOYSPP	BOYSPP	4.0	121.098505	31.736752
68982	BOYSPP	BOYSPP	4.0	121.278663	31.611723
68983	BOYSPP	BOYSPP	4.0	121.078142	31.76004
71317	BOYSPP	BOYSPP	4.0	121.432691	31.519136
71454	BOYSPP	BOYSPP	4.0	121.428302	31.520053
72033	BOYSPP	BOYSPP	4.0	120.977161	31.781596
72049	BOYSPP	BOYSPP	4.0	121.151884	31.703441
72053	BOYSPP	BOYSPP	4.0	121.205188	31.678636
72059	BOYSPP	BOYSPP	4.0	121.224077	31.667414
72062	BOYSPP	BOYSPP	4.0	121.262166	31.650856
72065	BOYSPP	BOYSPP	4.0	121.259138	31.634134
74695	BOYSPP	BOYSPP	4.0	121.3786389	31.553
59364	BOYLAT	BOYLAT	4.0	121.385813	31.612732
59366	BOYLAT	BOYLAT	4.0	121.415525	31.598163
59368	BOYLAT	BOYLAT	4.0	121.443302	31.584274
59369	BOYLAT	BOYLAT	4.0	121.478866	31.56815
59370	BOYLAT	BOYLAT	4.0	121.512754	31.552033
59371	BOYLAT	BOYLAT	4.0	121.335526	31.551191
59372	BOYLAT	BOYLAT	4.0	121.357164	31.539525
59373	BOYLAT	BOYLAT	4.0	121.329137	31.539275
59374	BOYLAT	BOYLAT	4.0	121.550027	31.530827
59375	BOYLAT	BOYLAT	4.0	121.381609	31.52633
59376	BOYLAT	BOYLAT	4.0	121.346387	31.524997
59377	BOYLAT	BOYLAT	4.0	121.36822	31.522914
59378	BOYLAT	BOYLAT	4.0	121.364859	31.518303
59379	BOYLAT	BOYLAT	4.0	121.358609	31.51472
59380	BOYLAT	BOYLAT	4.0	121.406803	31.512775
59381	BOYLAT	BOYLAT	4.0	121.36722	31.507497
59382	BOYLAT	BOYLAT	4.0	121.376331	31.507081
