lon lat depth
122.140064 29.891158 46.00
122.147335 29.892388 38.00
122.150886 29.889676 78.00
122.154590 29.888671 60.00
122.147365 29.887772 90.00
122.143692 29.886674 76.00
122.143662 29.891078 83.00
122.143570 29.894676 82.00
122.140080 29.894239 45.00
122.140140 29.887930 38.00
122.150780 29.894067 38.00
122.143818 29.883273 73.00
122.147330 29.881981 88.00
122.150869 29.883862 79.00
122.140188 29.882009 41.00
122.150973 29.880433 86.00
122.136692 29.873776 47.00
122.140296 29.877790 68.00
122.143743 29.875621 74.00
122.136604 29.869338 46.00
122.147469 29.868349 51.00
122.143748 29.869250 61.00
122.140293 29.871403 75.00
122.147436 29.873643 63.00
122.147553 29.864828 63.00
122.140343 29.865076 48.00
122.158175 29.866058 45.00
122.158165 29.870502 42.00
122.151122 29.867239 56.00
122.154570 29.877572 56.00
122.158136 29.874801 48.00
122.161924 29.875117 48.00
122.154676 29.873355 59.00
122.151005 29.874506 63.00
122.158041 29.882784 47.00
122.161797 29.881792 32.00
122.165540 29.882545 36.00
122.165431 29.877491 38.00
122.158041 29.879450 40.00
122.147354 29.878179 78.00
122.161889 29.889835 40.00
122.165497 29.888839 43.00
122.161875 29.886115 32.00
122.158115 29.886163 38.00
122.177507 29.879503 37.00
122.172730 29.879682 35.00
122.179236 29.883181 44.00
122.175265 29.883500 40.00
122.177932 29.886297 48.00
122.173008 29.886667 43.00
122.169125 29.884496 37.00
122.183647 29.884369 53.00
122.190871 29.888959 64.00
122.189678 29.885358 53.00
122.185912 29.889428 61.00
122.182082 29.887884 57.00
122.179970 29.891520 64.00
122.180546 29.895141 67.00
122.183868 29.893654 76.00
122.176272 29.893915 64.00
122.190670 29.894596 61.00
122.201624 29.889416 52.00
122.199007 29.884035 45.00
122.198880 29.887455 52.00
122.203650 29.887247 50.00
122.194444 29.883632 59.00
122.208181 29.889054 38.00
122.206857 29.882839 49.00
122.198832 29.890180 46.00
122.194397 29.891167 49.00
122.201613 29.894530 56.00
122.205265 29.892655 40.00
122.212397 29.888512 33.00
122.208891 29.894599 35.00
122.212465 29.896224 32.00
122.205230 29.896914 40.00
122.205188 29.900253 36.00
122.208768 29.900926 32.00
122.223580 29.856201 56.00
122.230887 29.856377 33.00
122.227269 29.858428 43.00
122.220272 29.852995 38.00
122.208584 29.850251 99.00
122.211111 29.847219 36.00
122.216488 29.847884 54.00
122.220072 29.849271 38.00
122.215926 29.851825 50.00
122.211486 29.852967 75.00
122.207300 29.846566 98.00
122.217704 29.858554 32.00
122.214543 29.855225 54.00
122.212640 29.858754 67.00
122.209278 29.856384 86.00
122.208434 29.860237 82.00
122.203857 29.859240 97.00
122.201897 29.855200 102.00
122.205502 29.852644 100.00
122.223775 29.859653 33.00
122.215332 29.861309 42.00
122.218997 29.860936 40.00
122.201301 29.863741 95.00
122.206083 29.863780 89.00
122.210529 29.864646 52.00
122.202295 29.867030 84.00
122.197367 29.866163 90.00
122.199707 29.859280 102.00
122.196650 29.859905 100.00
122.193729 29.857265 59.00
122.190608 29.860723 33.00
122.184054 29.860115 36.00
122.169366 29.865772 37.00
122.162074 29.852154 49.00
122.162059 29.856125 46.00
122.169288 29.858058 73.00
122.165600 29.859915 44.00
122.147692 29.855147 37.00
122.154883 29.851631 49.00
122.158281 29.854190 50.00
122.160083 29.848864 45.00
122.151279 29.853053 55.00
122.154831 29.858333 48.00
122.151245 29.857316 57.00
122.154934 29.848131 51.00
122.143900 29.858258 33.00
122.147610 29.859980 42.00
122.162089 29.862202 40.00
122.151153 29.862575 50.00
122.158324 29.858980 48.00
122.154758 29.861049 56.00
122.165639 29.867167 41.00
122.161965 29.867897 35.00
122.184595 29.871715 40.00
122.169373 29.871559 35.00
122.172817 29.875308 32.00
122.182303 29.878716 45.00
122.184641 29.875396 40.00
122.187949 29.877900 43.00
122.188550 29.874494 33.00
122.178149 29.875678 33.00
122.196959 29.873890 56.00
122.196049 29.870309 68.00
122.192670 29.874360 44.00
122.188728 29.871102 32.00
122.191171 29.881639 40.00
122.202551 29.880399 47.00
122.205066 29.877289 52.00
122.199109 29.878540 51.00
122.192136 29.877776 34.00
122.201243 29.874655 59.00
122.206996 29.874400 55.00
122.186511 29.881516 48.00
122.188455 29.880538 50.00
122.211215 29.872684 40.00
122.209032 29.869354 64.00
122.201766 29.870782 73.00
122.210450 29.877472 45.00
122.212322 29.880668 32.00
122.227265 29.874210 43.00
