RCID	LON	LAT	symbol
27057	123.5961667	39.3268333	null
27077	123.2784722	39.3912222	null
27080	123.2800833	39.4523611	null
27083	123.3941944	39.4506667	null
27086	123.3755833	39.3909444	null
27091	124.889494	38.699914	null
12513	123.219824	39.63262	BOYSPR60.png
12514	123.245851	39.574538	BOYSPR61.png
12515	123.035105	39.566843	BOYSPR60.png
12516	123.063188	39.529511	BOYSPR61.png
12517	123.996747	39.577043	BOYSPR61.png
12518	123.097186	39.477438	BOYSPR61.png
12520	124.889194	38.634428	null
12521	124.840038	38.624645	null
12512	124.065282	39.642953	null
14426	120.583325	39.249984	null
14427	121.049983	38.849991	null
20168	121.1509161	38.550583	null
14340	122.420044	39.3369	BOYSPR60.png
14341	122.460932	39.325011	BOYSPR61.png
14342	122.429488	39.2969	BOYSPR60.png
14343	122.362962	39.275484	BOYSPR61.png
14344	122.486404	39.273595	BOYSPR60.png
14345	122.392378	39.261623	BOYSPR61.png
14346	122.550653	39.251429	BOYSPR61.png
14347	122.228825	39.224735	BOYSPR60.png
14348	122.348518	39.12932	BOYSPR60.png
14349	122.271797	39.094793	BOYSPR60.png
14350	120.934985	38.376749	BOYSPR60.png
14351	120.955651	38.371305	BOYSPR60.png
14215	122.637374	39.418148	null
14216	122.038227	38.955298	null
11625	121.983697	40.620633	null
11626	121.401079	40.400594	null
11627	121.988402	40.377233	null
11629	120.601148	39.497332	null
21371	121.7930278	40.5145833	null
11684	122.015973	40.532248	BOYSPR61.png
11685	121.955708	40.302124	BOYSPR60.png
11686	121.85346	40.281041	BOYSPR61.png
11687	121.369652	40.174912	null
11688	121.649686	40.155293	BOYSPR61.png
11689	120.04585	40.002878	BOYSPR61.png
11690	119.672764	39.801815	BOYSPR60.png
11691	121.937125	40.550953	BOYSPR60.png
11692	121.802933	40.373206	BOYSPR61.png
11693	121.861516	40.423899	BOYSPR60.png
11694	121.91557	40.459954	BOYSPR61.png
11695	120.141322	40.04535	BOYSPR61.png
11696	121.977588	40.400655	BOYSPR61.png
11697	122.102253	40.351323	BOYSPR60.png
11698	121.071307	40.601257	BOYSPR61.png
11699	120.023352	40.018351	BOYSPR61.png
11787	119.775577	39.78016	null
11741	121.1455	39.597302	null
11738	121.746323	40.215458	null
11739	121.781323	40.198625	null
11740	121.724935	40.12946	null
495	119.230721	39.150293	null
496	119.179055	39.086961	null
497	118.146656	38.865826	null
498	118.548314	38.854986	null
499	117.867437	38.578803	null
500	119.509411	39.298957	null
503	118.026352	38.825021	null
504	120.085624	39.037156	null
506	117.90616	38.68394	null
3660	118.029068	38.991972	null
3781	119.3805278	39.4495833	null
3784	119.2961111	39.4764722	null
3807	119.39075	39.4430833	null
3810	119.3310833	39.4768333	null
634	118.277236	38.506554	BOYSPR61.png
637	118.421568	38.929353	BOYSPR61.png
638	118.2254167	38.8590833	null
639	118.693952	38.955352	BOYSPR61.png
640	118.457595	38.663441	BOYSPR61.png
641	118.406179	38.622302	null
642	118.368736	38.599275	null
643	118.320542	38.560276	null
644	118.267171	38.540006	null
645	118.195514	38.503875	null
646	118.111795	38.765133	BOYSPR61.png
647	117.960798	38.762772	BOYSPR60.png
649	117.8298333	38.8322222	BOYSPR61.png
650	117.903878	39.117064	BOYSPR61.png
3655	117.9344444	38.8086944	BOYSPR60.png
3735	118.23215	38.486964	BOYSPR61.png
3769	119.2730833	38.9890278	BOYSPR60.png
3771	119.1545278	39.0875556	null
630	118.356707	38.541165	null
632	118.108296	38.78755	null
633	118.133045	38.760995	null
3650	118.0413333	38.7866667	null
602	118.923893	39.044712	null
603	118.147983	38.89566	null
604	117.965687	38.891631	null
605	119.908867	38.594647	null
606	119.364608	39.470816	null
607	119.373524	39.480593	null
608	119.229249	38.871631	null
609	118.643314	38.674996	null
610	117.804828	38.680524	null
611	118.617676	38.653024	null
612	119.129084	38.827882	null
613	118.856922	38.551304	null
614	119.841016	39.386484	null
615	119.504105	39.248486	null
616	119.818684	39.19007	null
617	119.107084	38.807105	null
618	118.102323	38.869882	null
3641	119.5433056	38.7075556	null
3661	118.8599167	38.84875	null
3679	118.8443333	38.8536944	null
3831	119.5539444	38.6056389	null
3834	119.5973056	38.5418611	null
3837	119.7504167	38.9025833	null
3840	119.5455833	38.6358056	null
652	117.721441	38.672524	null
6965	119.408302	37.491659	null
6966	120.183289	37.949985	null
6967	118.224988	38.316645	null
6968	119.106057	37.405883	null
6969	119.176083	37.349995	null
6970	119.726491	37.38105	null
10317	119.8511104	38.0349726	null
10398	117.8067222	38.4540278	null
6925	120.164589	37.637152	BOYSPR60.png
6926	119.867939	37.555527	BOYSPR61.png
6927	119.779866	37.241935	BOYSPR61.png
6928	119.49963	37.184442	BOYSPR60.png
6930	118.452978	38.180642	null
6932	120.2045833	37.6860556	BOYSPR60.png
6933	119.977875	37.471549	BOYSPR61.png
6934	119.104751	38.169065	BOYSPR61.png
6935	120.376685	37.914746	BOYSPR61.png
6936	120.00318	37.663323	BOYSPR60.png
6937	119.99943	37.584658	BOYSPR61.png
6938	119.16825	37.328885	BOYSPR61.png
6939	119.798017	37.29608	BOYSPR60.png
6943	118.101101	38.465809	null
6946	118.009386	38.424435	null
6947	118.298431	38.377117	BOYSPR60.png
6948	118.188239	38.339423	BOYSPR61.png
6949	119.280665	37.447549	BOYSPR61.png
6950	119.166667	37.413883	BOYSPR60.png
6952	119.411385	37.422383	BOYSPR61.png
6953	119.526326	37.507325	BOYSPR61.png
6954	119.29666	37.337383	BOYSPR61.png
6955	119.384471	37.399606	BOYSPR60.png
6956	119.583882	37.549714	BOYSPR61.png
6957	117.926982	38.38261	null
6958	119.470606	37.463299	BOYSPR60.png
6960	118.145795	38.444393	BOYSPR60.png
10439	119.1156944	38.1460278	BOYSPR60.png
6961	119.061078	37.386646	null
6963	118.205524	38.259774	null
10435	119.2098611	38.2016111	null
6315	118.987059	38.260063	null
6316	118.594609	38.227992	null
6317	120.116317	37.654268	null
6318	118.813865	38.41422	null
6319	119.841017	38.386477	null
6320	118.162878	38.274035	null
6321	119.351358	38.167981	null
6322	119.363886	37.549714	null
6323	119.555243	37.758488	null
6325	119.370663	38.024595	null
